NORMAL_HEADING,heading_count
SRI LANKA POLITICS AND GOVERNMENT 1978,253
SRI LANKA POLITICS AND GOVERNMENT,238
SRI LANKA ETHNIC RELATIONS,123
SRI LANKA CIVILIZATION,122
SRI LANKA ECONOMIC CONDITIONS,121
SRI LANKA ECONOMIC POLICY,118
TAMIL LITERATURE SRI LANKA HISTORY AND CRITICISM,108
TAMIL INDIC PEOPLE SRI LANKA POLITICS AND GOVERNMENT,104
BUDDHISM SRI LANKA,98
SRI LANKA HISTORY,93
SRI LANKA FICTION,92
SRI LANKA SOCIAL LIFE AND CUSTOMS,87
SRI LANKA SOCIAL CONDITIONS,86
POLITICIANS SRI LANKA BIOGRAPHY,85
SRI LANKA POLITICS AND GOVERNMENT 20TH CENTURY,81
SRI LANKA POLITICS AND GOVERNMENT 21ST CENTURY,80
ETHNIC CONFLICT SRI LANKA,78
SRI LANKA HISTORY TO 1505,69
FOLKLORE SRI LANKA,68
SRI LANKA ANTIQUITIES,67
SRI LANKA DESCRIPTION AND TRAVEL,67
SRI LANKA HISTORY CIVIL WAR 1983 2009,62
SRI LANKA HISTORY 1505 1948,60
SRI LANKA BIOGRAPHY,58
EDUCATION SRI LANKA,46
HUMAN RIGHTS SRI LANKA,46
PEACE BUILDING SRI LANKA,45
TAMIL INDIC PEOPLE SRI LANKA,42
